CódigoVenda;Quantidade;Produto;Valor Unitário;Valor Final
65062;2;Sunga;R$ 100,00;R$ 200,00
65062;3;Camisa Gola V Liso;R$ 118,00;R$ 354,00
65062;1;Mochila Linho;R$ 311,00;R$ 311,00
65062;2;Pulseira Xadrez;R$ 87,00;R$ 174,00
65062;1;Cinto Listrado;R$ 214,00;R$ 214,00
65063;1;Meia Estampa;R$ 50,00;R$ 50,00
65063;2;Terno Liso;R$ 720,00;R$ 1.440,00
65064;2;Short Linho;R$ 133,00;R$ 266,00
65066;1;Gorro Linho;R$ 124,00;R$ 124,00
65066;1;Polo Listrado;R$ 149,00;R$ 149,00
65066;3;Gorro Xadrez;R$ 85,00;R$ 255,00
65068;1;Mochila Listrado;R$ 275,00;R$ 275,00
65070;3;Tênis Estampa;R$ 256,00;R$ 768,00
65070;1;Terno;R$ 700,00;R$ 700,00
65070;2;Camisa;R$ 100,00;R$ 200,00
65071;3;Cueca Xadrez;R$ 60,00;R$ 180,00
65071;2;Camisa;R$ 100,00;R$ 200,00
65071;2;Meia Xadrez;R$ 41,00;R$ 82,00
65071;5;Polo Linho;R$ 176,00;R$ 880,00
65071;4;Short Estampa;R$ 96,00;R$ 384,00
65072;5;Bermuda Liso;R$ 157,00;R$ 785,00
65074;1;Relógio;R$ 200,00;R$ 200,00
65074;1;Tênis Liso;R$ 266,00;R$ 266,00
65076;1;Cueca Linho;R$ 93,00;R$ 93,00
65076;1;Camiseta Linho;R$ 223,00;R$ 223,00
65076;1;Tênis Xadrez;R$ 259,00;R$ 259,00
65077;1;Cueca Listrado;R$ 67,00;R$ 67,00
65080;1;Cueca Liso;R$ 69,00;R$ 69,00
65080;1;Terno Xadrez;R$ 709,00;R$ 709,00
65081;3;Relógio Liso;R$ 216,00;R$ 648,00
65081;3;Cinto Liso;R$ 209,00;R$ 627,00
65081;1;Bermuda Xadrez;R$ 155,00;R$ 155,00
65081;1;Cinto Liso;R$ 209,00;R$ 209,00
65082;4;Terno Listrado;R$ 709,00;R$ 2.836,00
65083;2;Chinelo Linho;R$ 105,00;R$ 210,00
65087;1;Chinelo Estampa;R$ 74,00;R$ 74,00
65087;1;Sapato Xadrez;R$ 368,00;R$ 368,00
65087;3;Camiseta Xadrez;R$ 200,00;R$ 600,00
65087;3;Cueca Linho;R$ 93,00;R$ 279,00
65088;1;Camiseta Listrado;R$ 197,00;R$ 197,00
65089;3;Casaco Xadrez;R$ 259,00;R$ 777,00
65091;3;Short Listrado;R$ 102,00;R$ 306,00
65091;1;Casaco Xadrez;R$ 259,00;R$ 259,00
65093;3;Bermuda Xadrez;R$ 155,00;R$ 465,00
65093;1;Calça Listrado;R$ 181,00;R$ 181,00
65093;1;Casaco Xadrez;R$ 259,00;R$ 259,00
65094;2;Sunga;R$ 100,00;R$ 200,00
65094;5;Camiseta Xadrez;R$ 200,00;R$ 1.000,00
65095;1;Pulseira Liso;R$ 87,00;R$ 87,00
65096;1;Mochila Linho;R$ 311,00;R$ 311,00
65096;1;Mochila Liso;R$ 276,00;R$ 276,00
65097;3;Gorro Estampa;R$ 93,00;R$ 279,00
65098;3;Terno Linho;R$ 750,00;R$ 2.250,00
65098;2;Meia Linho;R$ 78,00;R$ 156,00
65099;3;Calça;R$ 170,00;R$ 510,00
65099;3;Short;R$ 90,00;R$ 270,00
65099;3;Bermuda Listrado;R$ 163,00;R$ 489,00
65100;1;Camisa Gola V Estampa;R$ 118,00;R$ 118,00
65100;4;Short;R$ 90,00;R$ 360,00
65100;2;Sunga Linho;R$ 149,00;R$ 298,00
65100;4;Gorro;R$ 80,00;R$ 320,00
65101;3;Casaco Linho;R$ 299,00;R$ 897,00
65102;2;Camisa Gola V Xadrez;R$ 107,00;R$ 214,00
65104;5;Terno Estampa;R$ 706,00;R$ 3.530,00
65106;5;Chinelo Xadrez;R$ 66,00;R$ 330,00
65106;1;Cinto Estampa;R$ 209,00;R$ 209,00
65106;1;Camisa Xadrez;R$ 105,00;R$ 105,00
65106;4;Casaco Estampa;R$ 256,00;R$ 1.024,00
65106;5;Sunga;R$ 100,00;R$ 500,00
65106;1;Terno;R$ 700,00;R$ 700,00
65108;2;Meia Estampa;R$ 50,00;R$ 100,00
65109;5;Camiseta Estampa;R$ 196,00;R$ 980,00
65111;1;Tênis Linho;R$ 294,00;R$ 294,00
65112;1;Pulseira Linho;R$ 114,00;R$ 114,00
65113;1;Tênis Liso;R$ 266,00;R$ 266,00
65113;1;Casaco Linho;R$ 299,00;R$ 299,00
65114;2;Sunga Listrado;R$ 114,00;R$ 228,00
65115;2;Meia Liso;R$ 38,00;R$ 76,00
65116;1;Mochila Estampa;R$ 277,00;R$ 277,00
65116;4;Bermuda Estampa;R$ 169,00;R$ 676,00
65117;1;Cinto Xadrez;R$ 215,00;R$ 215,00
65117;3;Mochila Liso;R$ 276,00;R$ 828,00
65118;5;Sapato;R$ 350,00;R$ 1.750,00
65118;1;Calça Linho;R$ 211,00;R$ 211,00
65119;2;Mochila Xadrez;R$ 283,00;R$ 566,00
65120;2;Sapato;R$ 350,00;R$ 700,00
65121;4;Cinto Listrado;R$ 214,00;R$ 856,00
65121;1;Terno Listrado;R$ 709,00;R$ 709,00
65121;3;Tênis;R$ 250,00;R$ 750,00
65123;2;Camiseta Xadrez;R$ 200,00;R$ 400,00
65123;3;Chinelo Liso;R$ 71,00;R$ 213,00
65123;2;Camisa Liso;R$ 105,00;R$ 210,00
65124;5;Camisa Gola V Estampa;R$ 118,00;R$ 590,00
65125;2;Relógio Xadrez;R$ 214,00;R$ 428,00
65125;3;Gorro Xadrez;R$ 85,00;R$ 255,00
65125;5;Casaco Listrado;R$ 269,00;R$ 1.345,00
65125;4;Cinto Listrado;R$ 214,00;R$ 856,00
65126;1;Sunga Estampa;R$ 120,00;R$ 120,00
65126;1;Calça;R$ 170,00;R$ 170,00
65126;1;Cueca Xadrez;R$ 60,00;R$ 60,00
65126;3;Cinto Liso;R$ 209,00;R$ 627,00
65126;1;Casaco Linho;R$ 299,00;R$ 299,00
65126;2;Chinelo Estampa;R$ 74,00;R$ 148,00
65128;1;Camisa Estampa;R$ 113,00;R$ 113,00
65129;2;Cinto Listrado;R$ 214,00;R$ 428,00
65131;2;Gorro Xadrez;R$ 85,00;R$ 170,00
65131;4;Gorro Listrado;R$ 97,00;R$ 388,00
65131;2;Mochila;R$ 270,00;R$ 540,00
65132;2;Gorro Listrado;R$ 97,00;R$ 194,00
65132;2;Mochila Estampa;R$ 277,00;R$ 554,00
65132;1;Polo Listrado;R$ 149,00;R$ 149,00
65132;2;Polo Estampa;R$ 138,00;R$ 276,00
65133;1;Polo Listrado;R$ 149,00;R$ 149,00
65133;1;Calça;R$ 170,00;R$ 170,00
65133;2;Mochila Xadrez;R$ 283,00;R$ 566,00
65135;2;Camisa Gola V Liso;R$ 118,00;R$ 236,00
65136;1;Sunga Xadrez;R$ 116,00;R$ 116,00
65136;3;Calça;R$ 170,00;R$ 510,00
65137;4;Polo Linho;R$ 176,00;R$ 704,00
65139;5;Pulseira Liso;R$ 87,00;R$ 435,00
65139;2;Terno Linho;R$ 750,00;R$ 1.500,00
65140;2;Cueca Xadrez;R$ 60,00;R$ 120,00
65141;1;Cueca Liso;R$ 69,00;R$ 69,00
65141;3;Mochila;R$ 270,00;R$ 810,00
65142;1;Camisa Xadrez;R$ 105,00;R$ 105,00
65143;3;Calça Liso;R$ 190,00;R$ 570,00
65143;1;Cinto Xadrez;R$ 215,00;R$ 215,00
65144;1;Calça Xadrez;R$ 185,00;R$ 185,00
65145;4;Cueca Linho;R$ 93,00;R$ 372,00
65145;1;Camisa Liso;R$ 105,00;R$ 105,00
65145;2;Mochila Xadrez;R$ 283,00;R$ 566,00
65146;5;Camisa Gola V Listrado;R$ 116,00;R$ 580,00
65146;3;Cinto Xadrez;R$ 215,00;R$ 645,00
65146;4;Bermuda;R$ 150,00;R$ 600,00
65146;3;Relógio Liso;R$ 216,00;R$ 648,00
65148;3;Sapato Xadrez;R$ 368,00;R$ 1.104,00
65150;1;Tênis Estampa;R$ 256,00;R$ 256,00
65151;4;Camisa Liso;R$ 105,00;R$ 420,00
65151;1;Chinelo Estampa;R$ 74,00;R$ 74,00
65151;1;Tênis Listrado;R$ 262,00;R$ 262,00
65152;2;Polo Linho;R$ 176,00;R$ 352,00
65152;3;Meia Listrado;R$ 37,00;R$ 111,00
65152;2;Relógio Estampa;R$ 219,00;R$ 438,00
65154;2;Casaco;R$ 250,00;R$ 500,00
65154;3;Calça Listrado;R$ 181,00;R$ 543,00
65155;1;Terno Listrado;R$ 709,00;R$ 709,00
65155;1;Cueca Estampa;R$ 66,00;R$ 66,00
65155;4;Camisa Gola V;R$ 100,00;R$ 400,00
65157;2;Mochila Liso;R$ 276,00;R$ 552,00
65157;2;Relógio Estampa;R$ 219,00;R$ 438,00
65157;3;Terno Linho;R$ 750,00;R$ 2.250,00
65159;2;Mochila Linho;R$ 311,00;R$ 622,00
65160;5;Pulseira Estampa;R$ 87,00;R$ 435,00
65160;1;Gorro;R$ 80,00;R$ 80,00
65160;1;Short Xadrez;R$ 100,00;R$ 100,00
65160;4;Meia Estampa;R$ 50,00;R$ 200,00
65161;1;Calça;R$ 170,00;R$ 170,00
65161;3;Camisa Gola V Listrado;R$ 116,00;R$ 348,00
65165;1;Casaco Estampa;R$ 256,00;R$ 256,00
65167;1;Camisa Gola V Listrado;R$ 116,00;R$ 116,00
65168;1;Chinelo Listrado;R$ 73,00;R$ 73,00
65168;2;Camiseta Estampa;R$ 196,00;R$ 392,00
65168;2;Sapato Liso;R$ 368,00;R$ 736,00
65169;4;Camisa Gola V Liso;R$ 118,00;R$ 472,00
65170;1;Terno Estampa;R$ 706,00;R$ 706,00
65170;2;Camisa Gola V Liso;R$ 118,00;R$ 236,00
65171;2;Polo Estampa;R$ 138,00;R$ 276,00
65171;1;Meia Listrado;R$ 37,00;R$ 37,00
65173;5;Relógio Xadrez;R$ 214,00;R$ 1.070,00
65174;2;Calça;R$ 170,00;R$ 340,00
65174;2;Pulseira Liso;R$ 87,00;R$ 174,00
65175;2;Camisa Gola V Xadrez;R$ 107,00;R$ 214,00
65176;1;Camisa Gola V Liso;R$ 118,00;R$ 118,00
65176;1;Pulseira Listrado;R$ 79,00;R$ 79,00
65177;1;Terno Linho;R$ 750,00;R$ 750,00
65177;1;Cinto Linho;R$ 248,00;R$ 248,00
65179;1;Gorro Xadrez;R$ 85,00;R$ 85,00
65179;2;Bermuda;R$ 150,00;R$ 300,00
65179;5;Camisa Gola V Xadrez;R$ 107,00;R$ 535,00
65179;2;Camisa;R$ 100,00;R$ 200,00
65179;2;Camisa;R$ 100,00;R$ 200,00
65180;1;Casaco;R$ 250,00;R$ 250,00
65181;1;Chinelo Listrado;R$ 73,00;R$ 73,00
65182;1;Bermuda;R$ 150,00;R$ 150,00
65183;2;Camisa Gola V;R$ 100,00;R$ 200,00
65185;2;Short Linho;R$ 133,00;R$ 266,00
65185;5;Sapato Liso;R$ 368,00;R$ 1.840,00
65185;1;Short Linho;R$ 133,00;R$ 133,00
65186;1;Polo;R$ 130,00;R$ 130,00
65189;1;Camiseta Linho;R$ 223,00;R$ 223,00
65189;2;Mochila;R$ 270,00;R$ 540,00
65191;3;Polo Liso;R$ 137,00;R$ 411,00
65192;5;Camisa Gola V Listrado;R$ 116,00;R$ 580,00
65192;1;Gorro Estampa;R$ 93,00;R$ 93,00
65193;3;Short Linho;R$ 133,00;R$ 399,00
65193;1;Tênis Linho;R$ 294,00;R$ 294,00
65193;1;Terno Listrado;R$ 709,00;R$ 709,00
65193;1;Camisa Gola V Linho;R$ 145,00;R$ 145,00
65193;5;Camisa Listrado;R$ 108,00;R$ 540,00
65194;3;Gorro Liso;R$ 92,00;R$ 276,00
65195;1;Relógio Xadrez;R$ 214,00;R$ 214,00
65195;3;Bermuda Listrado;R$ 163,00;R$ 489,00
65196;2;Pulseira Xadrez;R$ 87,00;R$ 174,00
65196;1;Terno Linho;R$ 750,00;R$ 750,00
65196;1;Cueca Xadrez;R$ 60,00;R$ 60,00
65197;2;Sunga Linho;R$ 149,00;R$ 298,00
65198;3;Bermuda Linho;R$ 195,00;R$ 585,00
65200;2;Relógio Liso;R$ 216,00;R$ 432,00
65200;1;Polo Estampa;R$ 138,00;R$ 138,00
65200;2;Sunga Liso;R$ 114,00;R$ 228,00
65200;5;Camisa Gola V Liso;R$ 118,00;R$ 590,00
65201;2;Sapato;R$ 350,00;R$ 700,00
65201;2;Casaco Xadrez;R$ 259,00;R$ 518,00
65202;1;Sunga;R$ 100,00;R$ 100,00
65202;5;Casaco Liso;R$ 255,00;R$ 1.275,00
65202;1;Relógio Xadrez;R$ 214,00;R$ 214,00
65202;1;Mochila Linho;R$ 311,00;R$ 311,00
65204;1;Gorro Estampa;R$ 93,00;R$ 93,00
65204;2;Cinto Linho;R$ 248,00;R$ 496,00
65204;4;Bermuda Linho;R$ 195,00;R$ 780,00
65204;1;Sapato Listrado;R$ 363,00;R$ 363,00
65204;2;Gorro Linho;R$ 124,00;R$ 248,00
65205;1;Cinto Listrado;R$ 214,00;R$ 214,00
65206;3;Pulseira Xadrez;R$ 87,00;R$ 261,00
65207;2;Cueca Linho;R$ 93,00;R$ 186,00
65207;2;Relógio Listrado;R$ 218,00;R$ 436,00
65208;3;Bermuda Xadrez;R$ 155,00;R$ 465,00
65209;1;Calça Estampa;R$ 177,00;R$ 177,00
65210;1;Camisa;R$ 100,00;R$ 100,00
65210;2;Relógio Estampa;R$ 219,00;R$ 438,00
65211;1;Meia Estampa;R$ 50,00;R$ 50,00
65212;3;Camisa Xadrez;R$ 105,00;R$ 315,00
65212;4;Short Estampa;R$ 96,00;R$ 384,00
65215;1;Short Estampa;R$ 96,00;R$ 96,00
65215;1;Casaco Xadrez;R$ 259,00;R$ 259,00
65215;2;Tênis Estampa;R$ 256,00;R$ 512,00
65216;1;Short Liso;R$ 108,00;R$ 108,00
65216;2;Camisa Gola V Xadrez;R$ 107,00;R$ 214,00
65216;3;Sunga;R$ 100,00;R$ 300,00
65217;2;Short Listrado;R$ 102,00;R$ 204,00
65217;4;Camiseta Estampa;R$ 196,00;R$ 784,00
65217;1;Chinelo Liso;R$ 71,00;R$ 71,00
65218;5;Calça Estampa;R$ 177,00;R$ 885,00
65219;4;Cinto Linho;R$ 248,00;R$ 992,00
65221;1;Sunga Listrado;R$ 114,00;R$ 114,00
65221;2;Polo Estampa;R$ 138,00;R$ 276,00
65222;1;Casaco Estampa;R$ 256,00;R$ 256,00
65222;1;Casaco Linho;R$ 299,00;R$ 299,00
65225;1;Cueca Listrado;R$ 67,00;R$ 67,00
65226;3;Meia Listrado;R$ 37,00;R$ 111,00
65227;2;Casaco;R$ 250,00;R$ 500,00
65227;1;Polo;R$ 130,00;R$ 130,00
65228;3;Camiseta Linho;R$ 223,00;R$ 669,00
65230;1;Terno Xadrez;R$ 709,00;R$ 709,00
65231;2;Casaco Estampa;R$ 256,00;R$ 512,00
65233;2;Gorro Linho;R$ 124,00;R$ 248,00
65235;5;Meia Estampa;R$ 50,00;R$ 250,00
65235;5;Gorro Linho;R$ 124,00;R$ 620,00
65235;3;Pulseira Xadrez;R$ 87,00;R$ 261,00
65236;4;Sunga Xadrez;R$ 116,00;R$ 464,00
65237;1;Cueca Linho;R$ 93,00;R$ 93,00
65238;4;Terno Xadrez;R$ 709,00;R$ 2.836,00
65238;2;Meia Liso;R$ 38,00;R$ 76,00
65238;3;Tênis;R$ 250,00;R$ 750,00
65238;1;Tênis Listrado;R$ 262,00;R$ 262,00
65238;3;Relógio Listrado;R$ 218,00;R$ 654,00
65239;2;Casaco;R$ 250,00;R$ 500,00
65239;1;Meia Estampa;R$ 50,00;R$ 50,00
65240;1;Calça Estampa;R$ 177,00;R$ 177,00
65240;2;Relógio Xadrez;R$ 214,00;R$ 428,00
65241;2;Short Linho;R$ 133,00;R$ 266,00
65242;2;Sunga Linho;R$ 149,00;R$ 298,00
65242;1;Polo Listrado;R$ 149,00;R$ 149,00
65242;2;Casaco Xadrez;R$ 259,00;R$ 518,00
65243;1;Sapato Listrado;R$ 363,00;R$ 363,00
65246;3;Gorro Listrado;R$ 97,00;R$ 291,00
65247;1;Camisa Gola V Listrado;R$ 116,00;R$ 116,00
65247;2;Calça Liso;R$ 190,00;R$ 380,00
65248;2;Short Liso;R$ 108,00;R$ 216,00
65249;3;Sunga Listrado;R$ 114,00;R$ 342,00
65249;1;Cueca;R$ 50,00;R$ 50,00
65249;3;Meia;R$ 30,00;R$ 90,00
65250;1;Camiseta Liso;R$ 187,00;R$ 187,00
65250;3;Sapato Linho;R$ 391,00;R$ 1.173,00
65250;2;Pulseira;R$ 70,00;R$ 140,00
65250;1;Terno Xadrez;R$ 709,00;R$ 709,00
65251;1;Camiseta Linho;R$ 223,00;R$ 223,00
65252;2;Cinto Listrado;R$ 214,00;R$ 428,00
65254;1;Mochila Xadrez;R$ 283,00;R$ 283,00
65255;2;Chinelo Xadrez;R$ 66,00;R$ 132,00
65255;2;Terno Listrado;R$ 709,00;R$ 1.418,00
65255;3;Sapato Listrado;R$ 363,00;R$ 1.089,00
65255;2;Camisa Gola V Estampa;R$ 118,00;R$ 236,00
65256;3;Camisa Estampa;R$ 113,00;R$ 339,00
65256;3;Bermuda Liso;R$ 157,00;R$ 471,00
65258;2;Cinto Xadrez;R$ 215,00;R$ 430,00
65260;2;Camisa Listrado;R$ 108,00;R$ 216,00
65260;2;Tênis Estampa;R$ 256,00;R$ 512,00
65261;2;Bermuda Estampa;R$ 169,00;R$ 338,00
65261;1;Sunga;R$ 100,00;R$ 100,00
65261;3;Gorro Liso;R$ 92,00;R$ 276,00
65262;2;Cinto Liso;R$ 209,00;R$ 418,00
65263;5;Terno;R$ 700,00;R$ 3.500,00
65263;5;Chinelo Liso;R$ 71,00;R$ 355,00
65263;2;Pulseira Linho;R$ 114,00;R$ 228,00
65263;5;Camiseta Xadrez;R$ 200,00;R$ 1.000,00
65264;3;Chinelo;R$ 60,00;R$ 180,00
65265;3;Relógio Estampa;R$ 219,00;R$ 657,00
65266;2;Sunga Liso;R$ 114,00;R$ 228,00
65267;1;Meia Liso;R$ 38,00;R$ 38,00
65268;3;Cueca;R$ 50,00;R$ 150,00
65268;3;Pulseira Estampa;R$ 87,00;R$ 261,00
65269;2;Pulseira Listrado;R$ 79,00;R$ 158,00
65270;5;Meia Estampa;R$ 50,00;R$ 250,00
65271;2;Short Linho;R$ 133,00;R$ 266,00
65271;2;Casaco Liso;R$ 255,00;R$ 510,00
65271;1;Relógio Linho;R$ 240,00;R$ 240,00
65272;2;Short Linho;R$ 133,00;R$ 266,00
65273;3;Gorro Xadrez;R$ 85,00;R$ 255,00
65273;2;Bermuda Linho;R$ 195,00;R$ 390,00
65273;3;Chinelo;R$ 60,00;R$ 180,00
65274;1;Sunga;R$ 100,00;R$ 100,00
65275;2;Pulseira;R$ 70,00;R$ 140,00
65276;3;Tênis Linho;R$ 294,00;R$ 882,00
65276;3;Cueca Listrado;R$ 67,00;R$ 201,00
65276;1;Sapato Listrado;R$ 363,00;R$ 363,00
65276;2;Camisa Gola V Estampa;R$ 118,00;R$ 236,00
65277;5;Chinelo Estampa;R$ 74,00;R$ 370,00
65278;1;Polo Liso;R$ 137,00;R$ 137,00
65279;4;Mochila Linho;R$ 311,00;R$ 1.244,00
65279;1;Calça;R$ 170,00;R$ 170,00
65279;1;Polo Linho;R$ 176,00;R$ 176,00
65280;1;Mochila Xadrez;R$ 283,00;R$ 283,00
65280;2;Cinto Liso;R$ 209,00;R$ 418,00
65282;1;Camiseta;R$ 180,00;R$ 180,00
65283;3;Terno Linho;R$ 750,00;R$ 2.250,00
65284;2;Mochila Xadrez;R$ 283,00;R$ 566,00
65284;2;Gorro Linho;R$ 124,00;R$ 248,00
65286;5;Terno Xadrez;R$ 709,00;R$ 3.545,00
65287;2;Chinelo Linho;R$ 105,00;R$ 210,00
65287;1;Mochila Xadrez;R$ 283,00;R$ 283,00
65288;3;Calça Listrado;R$ 181,00;R$ 543,00
65288;1;Chinelo Linho;R$ 105,00;R$ 105,00
65289;2;Relógio Linho;R$ 240,00;R$ 480,00
65292;1;Sunga Estampa;R$ 120,00;R$ 120,00
65292;1;Short Xadrez;R$ 100,00;R$ 100,00
65293;2;Bermuda Listrado;R$ 163,00;R$ 326,00
65294;1;Sunga Linho;R$ 149,00;R$ 149,00
65294;5;Sunga Liso;R$ 114,00;R$ 570,00
65294;1;Relógio Listrado;R$ 218,00;R$ 218,00
65295;4;Sapato Listrado;R$ 363,00;R$ 1.452,00
65297;3;Terno Listrado;R$ 709,00;R$ 2.127,00
65299;1;Calça Liso;R$ 190,00;R$ 190,00
65299;1;Cinto Linho;R$ 248,00;R$ 248,00
65301;2;Bermuda Linho;R$ 195,00;R$ 390,00
65304;1;Cueca Xadrez;R$ 60,00;R$ 60,00
65304;2;Polo Linho;R$ 176,00;R$ 352,00
65308;1;Polo Estampa;R$ 138,00;R$ 138,00
65308;1;Relógio;R$ 200,00;R$ 200,00
65308;1;Chinelo Xadrez;R$ 66,00;R$ 66,00
65308;1;Bermuda Linho;R$ 195,00;R$ 195,00
65308;1;Camiseta Linho;R$ 223,00;R$ 223,00
65308;2;Polo Estampa;R$ 138,00;R$ 276,00
65310;2;Bermuda Listrado;R$ 163,00;R$ 326,00
65311;2;Short Listrado;R$ 102,00;R$ 204,00
65312;1;Pulseira Listrado;R$ 79,00;R$ 79,00
65312;1;Sunga Linho;R$ 149,00;R$ 149,00
65313;3;Sapato Linho;R$ 391,00;R$ 1.173,00
65313;1;Chinelo Linho;R$ 105,00;R$ 105,00
65314;1;Casaco Linho;R$ 299,00;R$ 299,00
65314;1;Camiseta Liso;R$ 187,00;R$ 187,00
65315;2;Calça Xadrez;R$ 185,00;R$ 370,00
65315;4;Mochila;R$ 270,00;R$ 1.080,00
65316;2;Relógio Estampa;R$ 219,00;R$ 438,00
65316;1;Casaco Listrado;R$ 269,00;R$ 269,00
65316;1;Meia;R$ 30,00;R$ 30,00
65318;1;Terno Liso;R$ 720,00;R$ 720,00
65318;3;Gorro Estampa;R$ 93,00;R$ 279,00
65321;2;Gorro Linho;R$ 124,00;R$ 248,00
65322;1;Gorro;R$ 80,00;R$ 80,00
65324;1;Camiseta Estampa;R$ 196,00;R$ 196,00
65325;1;Camiseta Xadrez;R$ 200,00;R$ 200,00
65326;3;Casaco Xadrez;R$ 259,00;R$ 777,00
65326;3;Terno Liso;R$ 720,00;R$ 2.160,00
65326;1;Pulseira Estampa;R$ 87,00;R$ 87,00
65327;2;Tênis Listrado;R$ 262,00;R$ 524,00
65327;5;Casaco Listrado;R$ 269,00;R$ 1.345,00
65327;4;Sunga;R$ 100,00;R$ 400,00
65328;5;Relógio Estampa;R$ 219,00;R$ 1.095,00
65328;4;Mochila Linho;R$ 311,00;R$ 1.244,00
65328;1;Camiseta Estampa;R$ 196,00;R$ 196,00
65330;1;Chinelo;R$ 60,00;R$ 60,00
65331;3;Terno Liso;R$ 720,00;R$ 2.160,00
65332;5;Pulseira Listrado;R$ 79,00;R$ 395,00
65332;2;Mochila Estampa;R$ 277,00;R$ 554,00
65332;2;Mochila Linho;R$ 311,00;R$ 622,00
65333;1;Bermuda Linho;R$ 195,00;R$ 195,00
65333;1;Tênis Linho;R$ 294,00;R$ 294,00
65334;1;Cueca;R$ 50,00;R$ 50,00
65335;2;Casaco Liso;R$ 255,00;R$ 510,00
65336;5;Casaco Estampa;R$ 256,00;R$ 1.280,00
65336;5;Pulseira Linho;R$ 114,00;R$ 570,00
65337;2;Bermuda Listrado;R$ 163,00;R$ 326,00
65337;2;Sapato Estampa;R$ 358,00;R$ 716,00
